temps;MGA;MDR
temps;Commande Moteur Gauche;Commande Moteur Droit
0013.209;4344;5528
0013.221;4344;5614
0013.232;4344;5671
0013.240;4344;5535
0013.250;4344;5592
0013.258;4344;5592
0013.271;4344;5507
0013.279;4344;5507
0013.289;4344;5535
0013.299;4344;5535
0013.312;4344;5592
0013.320;4344;5649
0013.336;4344;5564
0013.348;4344;5649
0013.359;4344;5607
0013.369;4344;5607
0013.379;4344;5578
0013.390;4344;5607
0013.400;4344;5464
0013.408;4344;5571
0013.418;4344;5571
0013.428;4344;5571
0013.439;4344;5257
0013.451;4344;5507
0013.461;4344;5649
0013.472;4344;5507
0013.478;4344;5592
0013.488;4344;5535
0013.498;4344;5535
0013.511;4344;5557
0013.521;4344;5557
0013.529;4344;5557
0013.541;4344;5614
0013.556;4344;5614
0013.568;4344;5614
0013.578;4344;5592
0013.593;4344;5592
0013.599;4344;5621
0013.619;4344;5699
0013.628;4344;5564
0013.638;4344;5564
0013.648;4344;5621
0013.658;4344;5621
0013.669;4344;5507
0013.679;4344;5564
0013.689;4344;5621
0013.705;4344;5564
